Language_ID,Family,Latitude,Longitude,abs_latitude,n_total,n_v_final,n_v_initial,n_concepts,mean_final_cluster,dataset,is_unknown_or_isolate,passes_concept_threshold,has_family,has_abs_latitude,in_primary_sample,Macroarea,_macroarea_merge,macroarea_id_matched,has_macroarea,in_macroarea_sample,macroarea_exclusion_reason
TANGU,Ramu,-4.5,144.92,4.5,105,31,29,92,0.7238095238095238,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TANGUAT,Ramu,-4.58,144.92,4.58,97,17,48,94,0.865979381443299,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TANGUT,Sino-Tibetan,38.47,106.27,38.47,44,34,0,27,0.22727272727272727,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TANGWANG_GANSU_TANGWANG,Sino-Tibetan,35.79,103.54,35.79,101,101,4,92,0.0,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TANGZHOU_SUI,Tai-Kadai,25.88,107.84,25.88,84,41,0,84,0.5119047619047619,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TANI,Nuclear Trans New Guinea,-4.42,145.33,4.42,37,17,14,36,0.5405405405405406,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TANIMBILI,Austronesian,-11.3,166.51,11.3,34,34,2,34,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TANIMUCA,Tucanoan,-0.5,-70.67,0.5,42,42,15,39,0.0,ASJP,False,True,True,True,True,South America,both,True,True,True,included
TANIMUCA_RETUARA,Tucanoan,-0.5,-70.67,0.5,32,32,14,31,0.0,ASJP,False,True,True,True,True,South America,both,True,True,True,included
TANJONG,Austronesian,1.95,112.23,1.95,36,20,6,36,0.4444444444444444,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TAORA,Austronesian,-3.08,119.08,3.08,32,26,6,30,0.1875,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TAO_SUAMATO,Anim,-7.5,143.0,7.5,34,34,13,34,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TAPACHULTEC,Mixe-Zoque,14.9,-92.28,14.9,84,32,9,62,0.6190476190476191,ASJP,False,True,True,True,True,North America,both,True,True,True,included
TAPARITA,ISOLATE_OR_UNKNOWN__TAPARITA,7.0,-69.0,7.0,32,28,9,31,0.125,ASJP,True,True,True,True,True,,left_only,False,False,False,no_macroarea_match_by_Language_ID
TAPE,ISOLATE_OR_UNKNOWN__TAPE,-16.12,167.42,16.12,38,14,3,34,0.631578947368421,ASJP,True,True,True,True,True,,left_only,False,False,False,no_macroarea_match_by_Language_ID
TAPEI,Arafundi,-4.8,143.7,4.8,89,55,17,89,0.38202247191011235,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TAPEI_ANGARAT,Arafundi,-4.8,143.7,4.8,21,4,4,21,0.8095238095238095,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TAPIETE,Tupian,-19.75,-61.67,19.75,42,42,3,40,0.0,ASJP,False,True,True,True,True,South America,both,True,True,True,included
TAPIRAPE,Tupian,-10.58,-50.67,10.58,38,23,19,37,0.39473684210526316,ASJP,False,True,True,True,True,South America,both,True,True,True,included
TAPSHIN,Atlantic-Congo,9.33,9.42,9.33,40,17,0,40,0.575,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TAQUILE,Quechuan,-15.77,-69.68,15.77,41,31,9,37,0.24390243902439024,ASJP,False,True,True,True,True,South America,both,True,True,True,included
TARA,Austronesian,-1.17,120.0,1.17,40,40,10,40,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TARANGAN_BARAT_FERUNI,Austronesian,-6.5,134.17,6.5,35,10,9,34,0.7142857142857143,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
