Family,n_languages,n_exact_one,share_exact_one,mean_rate,median_n_total,mean_abs_latitude,database,share_of_all_boundary_languages
Chimakuan,1,0,0.0,0.3576923076923077,260.0,47.9106,Lexibank,0.0
Chinookan,3,0,0.0,0.3292326809568189,185.0,45.67856666666666,Lexibank,0.0
Chonan,3,0,0.0,0.24267061508077428,862.0,49.71973333333333,Lexibank,0.0
Chukotko-Kamchatkan,3,0,0.0,0.1419217102496048,652.0,60.488724333333344,Lexibank,0.0
Chumashan,6,0,0.0,0.3834735081689205,260.5,34.534283333333335,Lexibank,0.0
Cochimi-Yuman,8,0,0.0,0.5051876538615834,267.5,33.30605,Lexibank,0.0
Coosan,1,0,0.0,0.2786885245901639,122.0,43.4413,Lexibank,0.0
Cuitlatec,1,0,0.0,0.7058823529411765,119.0,18.1,Lexibank,0.0
Dagan,4,0,0.0,0.7038638989161746,211.5,9.837745,Lexibank,0.0
Dajuic,1,0,0.0,0.3787878787878788,198.0,10.8525,Lexibank,0.0
Dibiyaso,1,0,0.0,0.9834254143646409,181.0,7.82096,Lexibank,0.0
Dizoid,1,0,0.0,0.42213114754098363,244.0,7.05022,Lexibank,0.0
Dogon,62,0,0.0,0.8492944703624077,308.5,14.635192471774193,Lexibank,0.0
Dravidian,23,0,0.0,0.7816394834327487,115.0,14.990366,Lexibank,0.0
Duna,1,0,0.0,0.9927536231884058,138.0,5.41439,Lexibank,0.0
East Bird's Head,2,0,0.0,0.3124642161914577,229.5,1.1135549999999999,Lexibank,0.0
East Kutubu,1,0,0.0,0.9393939393939394,99.0,6.47258,Lexibank,0.0
Eastern Jebel,1,0,0.0,0.32989690721649484,194.0,11.4674,Lexibank,0.0
Elamite,1,0,0.0,0.6164736164736164,777.0,31.1833,Lexibank,0.0
Elseng,1,0,0.0,0.2616822429906542,107.0,3.00176,Lexibank,0.0
Eskimo-Aleut,5,0,0.0,0.25417770155613795,841.0,64.77762,Lexibank,0.0
Esselen,2,0,0.0,0.6284849338214588,120.0,36.5473,Lexibank,0.0
Furan,1,0,0.0,0.7916666666666666,144.0,12.0455,Lexibank,0.0
Gaagudju,1,0,0.0,0.8340807174887892,223.0,12.5176,Lexibank,0.0
Garrwan,1,0,0.0,0.9204545454545454,176.0,17.4504,Lexibank,0.0
Geelvink Bay,2,0,0.0,0.8888284725654968,197.0,2.496405,Lexibank,0.0
Great Andamanese,1,0,0.0,0.6692913385826772,254.0,11.67,Lexibank,0.0
Guaicuruan,12,0,0.0,0.5338185487456686,259.5,25.482994533333336,Lexibank,0.0
Gumuz,1,0,0.0,0.6470588235294118,204.0,11.05,Lexibank,0.0
Gunwinyguan,3,0,0.0,0.5772711444176527,159.0,13.7898,Lexibank,0.0
Hadza,1,0,0.0,0.9949494949494949,198.0,3.83115,Lexibank,0.0
Haida,4,0,0.0,0.46506390347924637,231.0,53.985268649999995,Lexibank,0.0
Harakmbut,1,0,0.0,0.32558139534883723,258.0,12.4931,Lexibank,0.0
Hatam-Mansim,1,0,0.0,0.4362745098039216,204.0,1.13531,Lexibank,0.0
Heibanic,1,0,0.0,0.7793427230046949,213.0,10.9194,Lexibank,0.0
Hmong-Mien,30,0,0.0,0.6876870092924227,808.5,25.4428158,Lexibank,0.0
Hruso,1,0,0.0,0.9333333333333333,210.0,27.27,Lexibank,0.0
Huarpean,1,0,0.0,0.4580152671755725,131.0,33.480938,Lexibank,0.0
Huavean,1,0,0.0,0.045454545454545456,264.0,16.2129,Lexibank,0.0
ISOLATE_OR_UNKNOWN__tolmiebritishcolumbia-Kootenuha-UpperKootenuha,1,0,0.0,0.5736434108527132,129.0,47.5422,Lexibank,0.0
Ijoid,3,0,0.0,0.9134754121660862,244.0,4.934023333333333,Lexibank,0.0
Iroquoian,2,0,0.0,0.6716480918608578,173.0,39.452571,Lexibank,0.0
Isolate,3,0,0.0,0.561369752032638,214.0,5.372827766666666,Lexibank,0.0
Itonama,2,0,0.0,0.9900914188912904,564.5,12.80431,Lexibank,0.0
Iwaidjan Proper,1,0,0.0,0.3288888888888889,225.0,11.66,Lexibank,0.0
Jarawa-Onge,1,0,0.0,0.7701863354037267,161.0,11.6089,Lexibank,0.0
Jarrakan,4,0,0.0,0.3642349989163868,240.5,16.74745,Lexibank,0.0
Jicaquean,1,0,0.0,0.46616541353383456,133.0,14.6686,Lexibank,0.0
Kadugli-Krongo,1,0,0.0,0.9669117647058824,272.0,10.8423,Lexibank,0.0
Kaki Ae,1,0,0.0,0.9956709956709957,231.0,7.9946,Lexibank,0.0
Kakua-Nukak,5,0,0.0,0.3737019288481097,134.0,1.5964240000000003,Lexibank,0.0
Kamula-Elevala,3,0,0.0,0.9907584251063081,190.0,7.014913333333333,Lexibank,0.0
Kanoê,1,0,0.0,0.7902439024390244,205.0,12.1789,Lexibank,0.0
Kartvelian,3,0,0.0,0.599582819763496,283.0,41.85026466666667,Lexibank,0.0
Karuk,2,0,0.0,0.13467672163324337,562.0,41.8228,Lexibank,0.0
Katla-Tima,1,0,0.0,0.42231075697211157,251.0,11.7176,Lexibank,0.0
Katukinan,1,0,0.0,0.48314606741573035,89.0,6.45399,Lexibank,0.0
Kaure-Kosare,2,0,0.0,0.8060247080724319,203.0,3.58968,Lexibank,0.0
Kawesqar,2,0,0.0,0.3105493382186998,435.5,49.303195,Lexibank,0.0
Kayagaric,3,0,0.0,0.2786867107124999,97.0,6.430976666666666,Lexibank,0.0
Kehu,1,0,0.0,0.9887218045112782,266.0,3.19328,Lexibank,0.0
