Family,n_languages,observed_share_exact_one,ppc_median,ppc_2.5,ppc_97.5,residual_observed_minus_ppc_median,bayesian_p_ge_observed
Yale,3,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.5066666666666667
Nihali,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
Namla-Tofanma,3,0.0,0.0,0.0,0.6666666666666666,0.0,1.0
Siamou,3,0.0,0.0,0.0,0.6666666666666666,0.0,1.0
Sulka,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
Abun,2,0.0,0.0,0.0,0.5,0.0,1.0
Palaihnihan,2,0.0,0.0,0.0,0.5,0.0,1.0
Nyimang,2,0.0,0.0,0.0,0.5,0.0,1.0
Kresh-Aja,2,0.0,0.0,0.0,1.0,0.0,1.0
Harakmbut,2,0.0,0.0,0.0,0.5,0.0,1.0
Basque,2,0.0,0.0,0.0,0.5,0.0,1.0
Berta,2,0.0,0.0,0.0,1.0,0.0,1.0
Ongota,2,0.0,0.0,0.0,1.0,0.0,1.0
Bunaban,2,0.0,0.0,0.0,1.0,0.0,1.0
Burmeso,2,0.0,0.0,0.0,0.5,0.0,1.0
Odiai,2,0.0,0.0,0.0,0.5,0.0,1.0
Cahuapanan,2,0.0,0.0,0.0,0.5,0.0,1.0
Chimakuan,2,0.0,0.0,0.0,0.5,0.0,1.0
Chimariko,2,0.0,0.0,0.0,0.5,0.0,1.0
Chitimacha,2,0.0,0.0,0.0,0.5,0.0,1.0
Dem,2,0.0,0.0,0.0,0.5,0.0,1.0
Duna,2,0.5,0.5,0.0,1.0,0.0,0.5575
Puelche,2,0.0,0.0,0.0,0.5,0.0,1.0
Muno,2,0.0,0.0,0.0,0.5,0.0,1.0
Haida,2,0.0,0.0,0.0,0.5,0.0,1.0
Tequistlatecan,2,0.0,0.0,0.0,0.5,0.0,1.0
Jarawa-Onge,2,0.0,0.0,0.0,1.0,0.0,1.0
Katukinan,2,0.0,0.0,0.0,1.0,0.0,1.0
Kapori,2,0.0,0.0,0.0,1.0,0.0,1.0
Kimki,2,0.0,0.0,0.0,0.5,0.0,1.0
Jarrakan,2,0.0,0.0,0.0,0.5,0.0,1.0
Kol (Papua New Guinea),2,0.0,0.0,0.0,0.5,0.0,1.0
Kusunda,2,0.0,0.0,0.0,0.5,0.0,1.0
Lencan,2,0.0,0.0,0.0,0.5,0.0,1.0
Molale,2,0.0,0.0,0.0,0.0,0.0,1.0
Molof,2,0.0,0.0,0.0,0.5,0.0,1.0
Northern Daly,2,0.0,0.0,0.0,0.5,0.0,1.0
Chonan,2,0.0,0.0,0.0,0.5,0.0,1.0
Rashad,2,0.0,0.0,0.0,0.5,0.0,1.0
Páez,2,0.0,0.0,0.0,0.5,0.0,1.0
Papi,2,0.0,0.0,0.0,1.0,0.0,1.0
Wintuan,2,0.0,0.0,0.0,0.5,0.0,1.0
Pawaia,2,0.5,0.5,0.0,1.0,0.0,0.5058333333333334
Puinave,2,0.0,0.0,0.0,0.5,0.0,1.0
Pyu,2,0.0,0.0,0.0,0.5,0.0,1.0
North Bougainville,2,0.5,0.5,0.0,1.0,0.0,0.5691666666666667
Shastan,2,0.0,0.0,0.0,0.5,0.0,1.0
Tabo,2,0.5,0.5,0.0,1.0,0.0,0.5391666666666667
Taiap,2,0.0,0.0,0.0,0.5,0.0,1.0
Temeinic,2,0.0,0.0,0.0,0.5,0.0,1.0
Usku,2,0.0,0.0,0.0,1.0,0.0,1.0
Yuki-Wappo,2,0.0,0.0,0.0,0.0,0.0,1.0
Yangmanic,2,0.0,0.0,0.0,0.5,0.0,1.0
Washo,2,0.0,0.0,0.0,0.5,0.0,1.0
Yerakai,2,0.0,0.0,0.0,0.5,0.0,1.0
Yokutsan,2,0.0,0.0,0.0,0.5,0.0,1.0
Yuracaré,2,0.5,0.5,0.0,1.0,0.0,0.5375
Hoti,2,0.5,0.5,0.0,1.0,0.0,0.5575
Abinomn,1,0.0,0.0,0.0,1.0,0.0,1.0
Aikanã,1,0.0,0.0,0.0,1.0,0.0,1.0
ISOLATE_OR_UNKNOWN__ALLENTIAC,1,0.0,0.0,0.0,1.0,0.0,1.0
Alsea-Yaquina,1,0.0,0.0,0.0,0.0,0.0,1.0
