Family,n_languages,observed_share_exact_one,ppc_median,ppc_2.5,ppc_97.5,residual_observed_minus_ppc_median,bayesian_p_ge_observed
Kunimaipan,7,0.0,0.0,0.0,0.2857142857142857,0.0,1.0
Caddoan,7,0.0,0.0,0.0,0.14285714285714285,0.0,1.0
Kayagaric,7,0.0,0.0,0.0,0.14285714285714285,0.0,1.0
Koman,7,0.0,0.0,0.0,0.14285714285714285,0.0,1.0
Wakashan,7,0.0,0.0,0.0,0.14285714285714285,0.0,1.0
Nivkh,7,0.0,0.0,0.0,0.0,0.0,1.0
Kxa,7,0.14285714285714285,0.14285714285714285,0.0,0.5714285714285714,0.0,0.755
Chicham,6,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
Muskogean,6,0.16666666666666666,0.16666666666666666,0.0,0.5,0.0,0.5575
Turama-Kikori,6,0.3333333333333333,0.3333333333333333,0.0,0.8333333333333334,0.0,0.5375
Speech Register,6,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
Chumashan,6,0.0,0.0,0.0,0.16666666666666666,0.0,1.0
Kartvelian,6,0.16666666666666666,0.16666666666666666,0.0,0.5,0.0,0.6125
Kuliak,6,0.0,0.0,0.0,0.16666666666666666,0.0,1.0
Kaure-Kosare,6,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
Eastern Jebel,5,0.0,0.0,0.0,0.6,0.0,1.0
Mangarrayi-Maran,5,0.0,0.0,0.0,0.2,0.0,1.0
Zaparoan,5,0.2,0.2,0.0,0.8,0.0,0.7616666666666667
Barbacoan,5,0.0,0.0,0.0,0.2,0.0,1.0
Nyulnyulan,5,0.0,0.0,0.0,0.2,0.0,1.0
Yetfa,5,0.0,0.0,0.0,0.2,0.0,1.0
Damal,5,0.0,0.0,0.0,0.2,0.0,1.0
Worrorran,5,0.0,0.0,0.0,0.4,0.0,1.0
West Bomberai,5,0.0,0.0,0.0,0.0,0.0,1.0
Bulaka River,5,0.0,0.0,0.0,0.4,0.0,1.0
Lengua-Mascoy,5,0.0,0.0,0.0,0.2,0.0,1.0
Lepki-Murkim-Kembra,5,0.0,0.0,0.0,0.2,0.0,1.0
Marori,5,0.0,0.0,0.0,0.4,0.0,1.0
