Family,n_languages,n_words,mean_abs_latitude
Mairasic,5,357,3.3600000000000003
Marori,5,184,8.58
East Bird's Head,5,308,1.468
Chapacuran,4,139,10.5125
Yukaghir,4,322,67.375
Fuyug,4,227,8.58
Tangkic,4,156,17.0675
Somahai,4,150,5.0
Araucanian,4,256,38.0
Boran,4,321,1.585
Tsimshian,4,206,54.54
Baibai-Fas,4,230,3.25
Nambiquaran,4,190,13.0125
Maningrida,4,145,12.1875
Bogia,4,250,4.29
Naduhup,4,250,0.355
Elseng,4,368,3.0
Maiduan,4,211,39.5
Maban,4,240,12.2275
Sahaptian,4,239,46.0025
Kalapuyan,4,219,44.475
Peba-Yagua,4,145,3.6675
Piawi,4,173,5.2675
Misumalpan,4,159,13.5325
Kwomtari-Nai,4,255,3.6875
Southern Daly,4,134,14.335
Kakua-Nukak,4,288,1.8275000000000001
Huavean,4,250,16.259999999999998
Tarascan,4,216,19.5
Uru-Chipaya,4,182,18.4375
Gumuz,3,113,12.473333333333334
Wadjiginy,3,87,13.17
Iwaidjan Proper,3,117,11.806666666666667
Garrwan,3,254,17.60333333333333
Abun,3,122,0.5
Burmeso,3,73,2.5
Maybratic,3,168,0.9433333333333334
Bororoan,3,151,15.523333333333333
Zamucoan,3,149,20.36
Amto-Musan,3,103,4.06
Namla-Tofanma,3,216,3.6933333333333334
Furan,3,229,13.833333333333334
Pahoturi,3,172,8.89
Nihali,3,142,19.75
Mor (Bomberai Peninsula),3,127,2.83
Saliban,3,159,5.1866666666666665
Siamou,3,166,11.0
Katla-Tima,3,180,11.663333333333334
Keresan,3,108,35.303333333333335
Kehu,3,134,3.063333333333333
Kunama,3,192,14.5
Sulka,3,145,5.08
Giimbiyu,3,110,12.583333333333334
Yale,3,196,3.75
Bangime,3,172,14.866666666666667
Chinookan,3,92,47.76
Bayono-Awbono,3,156,5.166666666666667
Tamaic,3,192,14.11
South Bougainville,3,231,6.566666666666666
Kol (Papua New Guinea),3,161,5.17
Mombum-Koneraw,3,266,8.276666666666666
Pyu,3,135,4.42
Senagi,3,143,3.6366666666666667
Koreanic,3,369,36.126666666666665
Eastern Daly,3,86,13.746666666666668
Chonan,2,96,50.5
Yangmanic,2,89,15.085
Tabo,2,132,8.0
Taiap,2,131,4.08
Tauade,2,137,8.42
Haida,2,90,53.5
Harakmbut,2,93,12.915
Hoti,2,81,5.0
Berta,2,122,10.415
Bilua,2,74,7.75
Chitimacha,2,56,29.67
Usku,2,128,3.67
Tuxá,2,19,8.95
Touo,2,145,8.67
Taulil-Butam,2,121,4.43
Temeinic,2,156,11.625
Tequistlatecan,2,157,16.125
Chimariko,2,144,41.0
Yerakai,2,132,4.25
Yuki-Wappo,2,98,39.085
Yuracaré,2,101,16.58
Wintuan,2,168,40.105000000000004
Washo,2,143,39.25
Basque,2,286,43.0
Shastan,2,113,41.83
Katukinan,2,67,6.875
