Language_ID,Family,Latitude,Longitude,abs_latitude,n_total,n_concepts,is_unknown_or_isolate,macroarea_id_matched,Macroarea,macroarea_exclusion_reason
PROTO_MAA,ISOLATE_OR_UNKNOWN__PROTO_MAA,0.0,36.0,0.0,30,30,True,False,,no_macroarea_match_by_Language_ID
PROTO_MALAYO_POLYNESIAN,ISOLATE_OR_UNKNOWN__PROTO_MALAYO_POLYNESIAN,-9.0,124.0,9.0,42,39,True,False,,no_macroarea_match_by_Language_ID
PROTO_MALAYO_POLYNESIAN_2,ISOLATE_OR_UNKNOWN__PROTO_MALAYO_POLYNESIAN_2,-9.0,124.0,9.0,40,34,True,False,,no_macroarea_match_by_Language_ID
PROTO_MAMEAN,ISOLATE_OR_UNKNOWN__PROTO_MAMEAN,15.55,-91.05,15.55,38,38,True,False,,no_macroarea_match_by_Language_ID
PROTO_MARIC,ISOLATE_OR_UNKNOWN__PROTO_MARIC,-21.66,143.99,21.66,78,70,True,False,,no_macroarea_match_by_Language_ID
PROTO_MAYAN,ISOLATE_OR_UNKNOWN__PROTO_MAYAN,17.0,-89.83,17.0,40,37,True,False,,no_macroarea_match_by_Language_ID
PROTO_MAZATEC,ISOLATE_OR_UNKNOWN__PROTO_MAZATEC,17.7,-96.87,17.7,44,37,True,False,,no_macroarea_match_by_Language_ID
PROTO_MICRONESIAN,ISOLATE_OR_UNKNOWN__PROTO_MICRONESIAN,6.92,158.15,6.92,39,30,True,False,,no_macroarea_match_by_Language_ID
PROTO_MIEN,ISOLATE_OR_UNKNOWN__PROTO_MIEN,22.12,106.6,22.12,37,34,True,False,,no_macroarea_match_by_Language_ID
PROTO_MINAHASAN,ISOLATE_OR_UNKNOWN__PROTO_MINAHASAN,1.25,124.78,1.25,35,32,True,False,,no_macroarea_match_by_Language_ID
PROTO_MIXE_ZOQUE,ISOLATE_OR_UNKNOWN__PROTO_MIXE_ZOQUE,16.5,-94.17,16.5,34,34,True,False,,no_macroarea_match_by_Language_ID
PROTO_NORTHERN_HINDKO,ISOLATE_OR_UNKNOWN__PROTO_NORTHERN_HINDKO,34.0,73.0,34.0,34,32,True,False,,no_macroarea_match_by_Language_ID
PROTO_OCEANIC,ISOLATE_OR_UNKNOWN__PROTO_OCEANIC,-10.0,-125.0,10.0,39,37,True,False,,no_macroarea_match_by_Language_ID
PROTO_OCEANIC_2,ISOLATE_OR_UNKNOWN__PROTO_OCEANIC_2,-10.0,-125.0,10.0,40,33,True,False,,no_macroarea_match_by_Language_ID
PROTO_OCEANIC_3,ISOLATE_OR_UNKNOWN__PROTO_OCEANIC_3,-10.0,-125.0,10.0,35,32,True,False,,no_macroarea_match_by_Language_ID
PROTO_ONGAMO_MAA,ISOLATE_OR_UNKNOWN__PROTO_ONGAMO_MAA,0.0,36.0,0.0,32,31,True,False,,no_macroarea_match_by_Language_ID
PROTO_PALAWAN,ISOLATE_OR_UNKNOWN__PROTO_PALAWAN,8.67,117.3,8.67,40,35,True,False,,no_macroarea_match_by_Language_ID
PROTO_PANO,ISOLATE_OR_UNKNOWN__PROTO_PANO,-10.0,-65.0,10.0,37,37,True,False,,no_macroarea_match_by_Language_ID
PROTO_POLYNESIAN,ISOLATE_OR_UNKNOWN__PROTO_POLYNESIAN,-17.5,-173.5,17.5,73,39,True,False,,no_macroarea_match_by_Language_ID
PROTO_POLYNESIAN_2,ISOLATE_OR_UNKNOWN__PROTO_POLYNESIAN_2,-17.5,-173.5,17.5,34,33,True,False,,no_macroarea_match_by_Language_ID
PROTO_PUYUMA,ISOLATE_OR_UNKNOWN__PROTO_PUYUMA,22.61,121.0,22.61,27,26,True,False,,no_macroarea_match_by_Language_ID
PROTO_QUECHUA,ISOLATE_OR_UNKNOWN__PROTO_QUECHUA,-10.5,-77.0,10.5,35,35,True,False,,no_macroarea_match_by_Language_ID
PROTO_SAM,ISOLATE_OR_UNKNOWN__PROTO_SAM,2.33,37.98,2.33,31,28,True,False,,no_macroarea_match_by_Language_ID
PROTO_SOUTHERN_HINDKO,ISOLATE_OR_UNKNOWN__PROTO_SOUTHERN_HINDKO,34.0,72.0,34.0,35,33,True,False,,no_macroarea_match_by_Language_ID
PROTO_SOUTHERN_MINDANAO,ISOLATE_OR_UNKNOWN__PROTO_SOUTHERN_MINDANAO,7.5,126.0,7.5,33,29,True,False,,no_macroarea_match_by_Language_ID
PROTO_SOUTHWESTERN_MANDE,ISOLATE_OR_UNKNOWN__PROTO_SOUTHWESTERN_MANDE,8.14,-10.31,8.14,31,22,True,False,,no_macroarea_match_by_Language_ID
PROTO_TANI,ISOLATE_OR_UNKNOWN__PROTO_TANI,28.0,94.0,28.0,33,32,True,False,,no_macroarea_match_by_Language_ID
PROTO_TIBETO_BURMAN,ISOLATE_OR_UNKNOWN__PROTO_TIBETO_BURMAN,27.99,86.93,27.99,36,28,True,False,,no_macroarea_match_by_Language_ID
PROTO_TIBETO_BURMAN_2,ISOLATE_OR_UNKNOWN__PROTO_TIBETO_BURMAN_2,27.99,86.93,27.99,45,33,True,False,,no_macroarea_match_by_Language_ID
PROTO_TOGO,ISOLATE_OR_UNKNOWN__PROTO_TOGO,8.0,1.0,8.0,49,37,True,False,,no_macroarea_match_by_Language_ID
PROTO_TRUKIC,ISOLATE_OR_UNKNOWN__PROTO_TRUKIC,7.84,144.36,7.84,43,33,True,False,,no_macroarea_match_by_Language_ID
PROTO_TSOUIC,ISOLATE_OR_UNKNOWN__PROTO_TSOUIC,23.22,120.78,23.22,29,26,True,False,,no_macroarea_match_by_Language_ID
PROTO_TUPI_GUARANI,ISOLATE_OR_UNKNOWN__PROTO_TUPI_GUARANI,-12.5,-47.5,12.5,52,38,True,False,,no_macroarea_match_by_Language_ID
PROTO_TZELTALAN,ISOLATE_OR_UNKNOWN__PROTO_TZELTALAN,16.66,-93.65,16.66,45,38,True,False,,no_macroarea_match_by_Language_ID
PROTO_UKAAN,ISOLATE_OR_UNKNOWN__PROTO_UKAAN,7.75,6.05,7.75,32,31,True,False,,no_macroarea_match_by_Language_ID
PROTO_URALIC,ISOLATE_OR_UNKNOWN__PROTO_URALIC,60.0,60.0,60.0,34,28,True,False,,no_macroarea_match_by_Language_ID
PROTO_WESTERN_HMONG,ISOLATE_OR_UNKNOWN__PROTO_WESTERN_HMONG,23.83,104.5,23.83,48,34,True,False,,no_macroarea_match_by_Language_ID
PROTO_WESTERN_PUNJABI,ISOLATE_OR_UNKNOWN__PROTO_WESTERN_PUNJABI,33.0,72.5,33.0,35,33,True,False,,no_macroarea_match_by_Language_ID
PROTO_WESTERN_TIBETAN,ISOLATE_OR_UNKNOWN__PROTO_WESTERN_TIBETAN,34.56,76.67,34.56,40,38,True,False,,no_macroarea_match_by_Language_ID
PROTO_WEST_A_HMONG,ISOLATE_OR_UNKNOWN__PROTO_WEST_A_HMONG,21.67,104.0,21.67,43,36,True,False,,no_macroarea_match_by_Language_ID
PROTO_WINTUN,ISOLATE_OR_UNKNOWN__PROTO_WINTUN,41.0,-122.5,41.0,94,76,True,False,,no_macroarea_match_by_Language_ID
PROTO_YENISEIAN,ISOLATE_OR_UNKNOWN__PROTO_YENISEIAN,70.0,85.0,70.0,33,31,True,False,,no_macroarea_match_by_Language_ID
PROTO_YUCATECAN_MAYAN,ISOLATE_OR_UNKNOWN__PROTO_YUCATECAN_MAYAN,20.05,-89.05,20.05,43,39,True,False,,no_macroarea_match_by_Language_ID
QUENYA,ISOLATE_OR_UNKNOWN__QUENYA,50.72,-1.88,50.72,51,34,True,False,,no_macroarea_match_by_Language_ID
SAIHRIEM,ISOLATE_OR_UNKNOWN__SAIHRIEM,24.94,92.9,24.94,30,28,True,False,,no_macroarea_match_by_Language_ID
SARDINIAN,ISOLATE_OR_UNKNOWN__SARDINIAN,40.0,9.0,40.0,39,39,True,False,,no_macroarea_match_by_Language_ID
SAR_INDONESIA,ISOLATE_OR_UNKNOWN__SAR_INDONESIA,-8.33,124.42,8.33,39,38,True,False,,no_macroarea_match_by_Language_ID
SENGMAI,ISOLATE_OR_UNKNOWN__SENGMAI,24.95,93.88,24.95,32,32,True,False,,no_macroarea_match_by_Language_ID
SINDARIN,ISOLATE_OR_UNKNOWN__SINDARIN,51.75,-1.26,51.75,45,32,True,False,,no_macroarea_match_by_Language_ID
SITI,ISOLATE_OR_UNKNOWN__SITI,9.17,-2.75,9.17,21,20,True,False,,no_macroarea_match_by_Language_ID
SITU,ISOLATE_OR_UNKNOWN__SITU,31.59,102.66,31.59,44,40,True,False,,no_macroarea_match_by_Language_ID
SLOVIO,ISOLATE_OR_UNKNOWN__SLOVIO,17.1,48.13,17.1,43,40,True,False,,no_macroarea_match_by_Language_ID
SLOVIO_2,ISOLATE_OR_UNKNOWN__SLOVIO_2,17.1,48.13,17.1,40,40,True,False,,no_macroarea_match_by_Language_ID
SOLRESOL,ISOLATE_OR_UNKNOWN__SOLRESOL,43.93,2.15,43.93,40,39,True,False,,no_macroarea_match_by_Language_ID
SORBUNG,ISOLATE_OR_UNKNOWN__SORBUNG,24.75,94.32,24.75,89,88,True,False,,no_macroarea_match_by_Language_ID
TAHITIAN_18TH_CENTURY,ISOLATE_OR_UNKNOWN__TAHITIAN_18TH_CENTURY,-17.67,-149.45,17.67,35,33,True,False,,no_macroarea_match_by_Language_ID
TAKEV_KLINGON,ISOLATE_OR_UNKNOWN__TAKEV_KLINGON,34.1,-118.33,34.1,38,35,True,False,,no_macroarea_match_by_Language_ID
TANGKHUL_CENTRAL,ISOLATE_OR_UNKNOWN__TANGKHUL_CENTRAL,25.74,94.25,25.74,31,31,True,False,,no_macroarea_match_by_Language_ID
TANGKHUL_NORTH,ISOLATE_OR_UNKNOWN__TANGKHUL_NORTH,25.74,94.25,25.74,31,31,True,False,,no_macroarea_match_by_Language_ID
TAPARITA,ISOLATE_OR_UNKNOWN__TAPARITA,7.0,-69.0,7.0,32,31,True,False,,no_macroarea_match_by_Language_ID
TAPE,ISOLATE_OR_UNKNOWN__TAPE,-16.12,167.42,16.12,38,34,True,False,,no_macroarea_match_by_Language_ID
TEQUIXISTLAN_CHONTAL,ISOLATE_OR_UNKNOWN__TEQUIXISTLAN_CHONTAL,16.4,-95.59,16.4,71,64,True,False,,no_macroarea_match_by_Language_ID
TIEFO_NYAFOGO,ISOLATE_OR_UNKNOWN__TIEFO_NYAFOGO,10.85,-4.45,10.85,39,34,True,False,,no_macroarea_match_by_Language_ID
TOKI_PONA,ISOLATE_OR_UNKNOWN__TOKI_PONA,46.12,-64.8,46.12,43,40,True,False,,no_macroarea_match_by_Language_ID
TOTONAC_COATEPEC,ISOLATE_OR_UNKNOWN__TOTONAC_COATEPEC,19.5,-97.0,19.5,88,86,True,False,,no_macroarea_match_by_Language_ID
TOTONAC_OLINTLA,ISOLATE_OR_UNKNOWN__TOTONAC_OLINTLA,20.01,-97.68,20.01,39,39,True,False,,no_macroarea_match_by_Language_ID
TOTONAC_OZELONACAXTLA,ISOLATE_OR_UNKNOWN__TOTONAC_OZELONACAXTLA,20.07,-97.62,20.07,40,40,True,False,,no_macroarea_match_by_Language_ID
